accuracy,auc,mia_gap,time_sec,acc_drop,method,model,seed,dataset,speedup
0.85,0.8200767328787876,0.0018271068416413072,9.47330904006958,0.0,Full Retrain,RF,42,ARMD,1.0
0.847225,0.8166703725928046,0.0024255175943796725,1.270352840423584,0.002774999999999972,SISA,RF,42,ARMD,7.457226637058424
0.849675,0.8198429181822962,0.0008434258305050624,9.651473045349121,0.0003250000000000197,Label-Flip Retraining,RF,42,ARMD,0.9815402266117922
0.849975,0.8190250912200596,0.0019785268476177897,9.61922812461853,2.4999999999941735e-05,Influence Reweighting,RF,42,ARMD,0.9848304788431518
0.849575,0.8194412647200049,0.0015681456146060258,0.13287663459777832,0.0004250000000000087,Tree Pruning,RF,42,ARMD,71.29401695599516
0.8688,0.8606865125809702,0.0020509064197540283,2.5061657428741455,0.0,Full Retrain,XGB,42,ARMD,1.0
0.8681,0.8596278500025327,0.002722993493080139,0.48793554306030273,0.0007000000000000339,SISA,XGB,42,ARMD,5.136263956414454
0.86825,0.8607280981979943,0.0003456026315689087,2.198843002319336,0.0005500000000000504,Label-Flip Retraining,XGB,42,ARMD,1.1397656586807907
0.8688,0.8606865125809702,0.0020509064197540283,2.518951416015625,0.0,Influence Reweighting,XGB,42,ARMD,0.9949242081208127
0.8688,0.8606865125809702,0.0020509064197540283,2.5061657428741455,0.0,Tree Pruning (N/A→LF),XGB,42,ARMD,1.0
0.849225,0.8200357664954229,0.0019749339556092427,9.718132495880127,0.0,Full Retrain,RF,123,ARMD,1.0
0.84715,0.816350107588653,0.0022378288190436912,1.2722315788269043,0.002075000000000049,SISA,RF,123,ARMD,7.638650586586599
0.84945,0.818305940573816,0.0007212923291016748,10.09490442276001,-0.00022500000000003073,Label-Flip Retraining,RF,123,ARMD,0.9626770189096182
0.849075,0.81878906623403,0.0022094462598802322,9.740901231765747,0.00014999999999998348,Influence Reweighting,RF,123,ARMD,0.9976625637254827
0.848575,0.8172579878729016,0.002349236620965478,0.135176420211792,0.0006500000000000394,Tree Pruning,RF,123,ARMD,71.89221670949661
0.8688,0.8606865125809702,0.0020509064197540283,2.497551202774048,0.0,Full Retrain,XGB,123,ARMD,1.0
0.8681,0.8596278500025327,0.002722993493080139,0.4686286449432373,0.0007000000000000339,SISA,XGB,123,ARMD,5.329488988187148
0.86825,0.8607280981979943,0.0003456026315689087,2.2311487197875977,0.0005500000000000504,Label-Flip Retraining,XGB,123,ARMD,1.1194014906419198
0.8688,0.8606865125809702,0.0020509064197540283,2.3727805614471436,0.0,Influence Reweighting,XGB,123,ARMD,1.0525841467829657
0.8688,0.8606865125809702,0.0020509064197540283,2.497551202774048,0.0,Tree Pruning (N/A→LF),XGB,123,ARMD,1.0
0.84915,0.8185622349947134,0.001970160823710876,10.086342811584473,0.0,Full Retrain,RF,456,ARMD,1.0
0.84805,0.815009649621685,0.0021703487945268773,1.3565466403961182,0.0010999999999999899,SISA,RF,456,ARMD,7.435308533615337
0.84885,0.8166970569357935,0.0007581994280901616,9.724900007247925,0.00029999999999996696,Label-Flip Retraining,RF,456,ARMD,1.0371667373512494
0.84855,0.8187610861280813,0.002057067881147373,10.130005598068237,0.0005999999999999339,Influence Reweighting,RF,456,ARMD,0.9956897569245085
0.848725,0.8166173520880301,0.0018456028060746255,0.12975835800170898,0.0004250000000000087,Tree Pruning,RF,456,ARMD,77.7317389562808
0.8688,0.8606865125809702,0.0020509064197540283,2.639432668685913,0.0,Full Retrain,XGB,456,ARMD,1.0
0.8681,0.8596278500025327,0.002722993493080139,0.5056722164154053,0.0007000000000000339,SISA,XGB,456,ARMD,5.219651353195253
0.86825,0.8607280981979943,0.0003456026315689087,2.2483019828796387,0.0005500000000000504,Label-Flip Retraining,XGB,456,ARMD,1.1739671488904315
0.8688,0.8606865125809702,0.0020509064197540283,2.396507978439331,0.0,Influence Reweighting,XGB,456,ARMD,1.1013661095360847
0.8688,0.8606865125809702,0.0020509064197540283,2.639432668685913,0.0,Tree Pruning (N/A→LF),XGB,456,ARMD,1.0
