method,short,accuracy,auc,mia_gap,fqs,time_sec,acc_drop,citation
"Original
(No Unlearning)",Original,0.8463,0.8082370822757163,0.0073645498393503095,0.0,0.0,0.0,—
"Full Retrain
(Gold Standard)",Retrain,0.84485,0.8065337644028184,0.007127533017303289,0.03675677756774578,0.8976750373840332,0.0014500000000000624,Cao & Yang (2015)
"SISA
(Proposed)",SISA,0.842775,0.8082123019109537,0.007606914416693034,0.0,0.17671513557434082,0.0035250000000000004,Bourtoule et al. (2021)
"Gradient Ascent
(Label Flip)",Grad. Ascent,0.846225,0.8068042108470601,0.0064866980963623755,0.12340823862947922,0.8314492702484131,7.500000000004725e-05,Golatkar et al. (2020)
"Random
Relabeling",Rand. Relabel,0.84525,0.8061164317679808,0.0073382059079795114,0.008340192488178765,0.8208887577056885,0.0010500000000001064,Graves et al. (2021)
"Influence
Reweighting",Influence,0.845925,0.8065186515756471,0.00709165390628641,0.041649927558221465,0.8387150764465332,0.0003750000000000142,Koh & Liang (2017)
"Noisy Label
Injection",Noisy Labels,0.845475,0.8063290272441699,0.0065060883370923195,0.12068111480448616,0.8313605785369873,0.0008250000000000757,Chen et al. (2023)
"Selective Tree
Pruning",Tree Pruning,0.842975,0.8012278773210944,0.006905224573807933,0.06659885397713065,0.06969404220581055,0.0033250000000000224,Novel (this work)
