dataset,model,forget_n,retrain_time,sisa_time,speedup,sisa_acc,sisa_acc_drop,retrain_acc_drop,sisa_mia,retrain_mia
ARMD,RF,500,1.061812162399292,0.22105741500854492,4.803332031898807,0.847225,0.002774999999999972,0.0,0.0024255175943796725,0.0018271068416412795
ARMD,XGB,500,0.44445323944091797,0.17285585403442383,2.5712362588102233,0.861475,0.0013250000000000206,0.0,0.003665745258331299,0.00379788875579834
ARMD,RF,1000,1.088252067565918,0.20981669425964355,5.186680075224281,0.847275,0.0031999999999999806,0.0,0.0006291152142516299,0.00010326970320151396
ARMD,XGB,1000,0.4076874256134033,0.14147663116455078,2.881659128137028,0.8618,0.0006249999999999867,0.0,0.000728115439414978,0.001093551516532898
ARMD,RF,5000,1.0423195362091064,0.17635107040405273,5.9104803493449785,0.846625,0.0033000000000000806,0.0,0.001377388724741968,0.0015850550295105625
ARMD,XGB,5000,0.4581410884857178,0.1619565486907959,2.828790142721498,0.862375,-0.0015000000000000568,0.0,0.00251084566116333,0.0023644715547561646
ARMD,RF,10000,1.006378412246704,0.26366758346557617,3.816845434767276,0.846125,0.0035999999999999366,0.0,0.0012283327563378243,0.0014917411783470225
ARMD,XGB,10000,0.4459671974182129,0.1623528003692627,2.7469017867501178,0.860075,0.0020999999999999908,0.0,0.0016327500343322754,0.0016647875308990479
PATRIC,RF,500,1.984786033630371,0.23723769187927246,8.36623395678797,0.683983983983984,-0.0071871871871871384,0.0,0.009690291455783928,0.009274448495616261
PATRIC,XGB,500,0.32866668701171875,0.10153007507324219,3.237136255189645,0.6922322322322322,-0.00029029029029026265,0.0,0.0114593505859375,0.009941786527633667
PATRIC,RF,1000,1.9705824851989746,0.27597713470458984,7.140383160033589,0.6846793587174349,-0.007595190380761507,0.0,0.008169806128427881,0.008692027079930442
PATRIC,XGB,1000,0.33859872817993164,0.10763692855834961,3.1457487008873395,0.6932665330661323,-0.00018036072144289594,0.0,0.007032275199890137,0.007394909858703613
PATRIC,RF,5000,1.9904351234436035,0.23279070854187012,8.550320310939732,0.6852222222222222,-0.006505050505050458,0.0,0.00035918888198405163,0.0008345528845727923
PATRIC,XGB,5000,0.40051817893981934,0.11254334449768066,3.558790444050411,0.6958484848484848,0.0005252525252525952,0.0,8.213520050048828e-05,0.0003712177276611328
PATRIC,RF,10000,2.010110378265381,0.2305433750152588,8.719011674624523,0.6846326530612244,-0.005499999999999949,0.0,0.0006524488984813726,0.00036325925440855444
PATRIC,XGB,10000,0.37722277641296387,0.08394074440002441,4.493917454618787,0.6943979591836734,0.0011938775510204058,0.0,0.001273512840270996,0.001506716012954712
