short,accuracy,auc,mia_gap,time_sec,acc_drop,speedup
Retrain,0.6702734171116553,0.7535552973138105,0.004592816208359496,13.372062683105469,-0.00015056008351066463,1.0
SISA,0.6706046492953788,0.7539706935132819,0.004870390327608165,1.3685450553894043,-0.0004817922672341046,9.771006537523602
Grad. Ascent,0.666228369534669,0.7533685055680461,0.004030455115476617,13.292226791381836,0.0038944874934756513,1.0060062089653328
Influence,0.670283454450556,0.753396197009174,0.004655665289010735,13.671694993972778,-0.0001605974224113682,0.9780837481380762
Tree Pruning,0.6705745372786767,0.7529702595284401,0.003226186252088481,0.1899127960205078,-0.0004516802505319939,70.41159397001074
