method,short,accuracy,auc,mia_gap,time_sec,acc_drop,speedup_vs_retrain
Full Retrain,Retrain,0.8489930710845794,0.8188157574502659,0.003207078709770106,66.70154857635498,-0.00011667023159045442,1.0
SISA (Proposed),SISA,0.8491162229957027,0.8200660728819015,0.003315894311121226,7.500106334686279,-0.00023982214271367486,8.893413719732951
Gradient Ascent,Grad. Ascent,0.8489314951290178,0.8203661627209143,0.002591446171703593,81.64216017723083,-5.509427602878869e-05,0.816998820603933
Influence Reweighting,Influence,0.8489152909301858,0.8186256690094477,0.003269448566919131,81.07685470581055,-3.889007719681814e-05,0.8226953156777389
Tree Pruning,Tree Pruning,0.8424012029997213,0.8153309526399234,0.0034029523384825344,0.8498728275299072,0.006475197853267667,78.48415247045622
